2008-06-07-11,11965463,240584091379
2008-06-07-12,12289510,253790627358
2008-06-07-13,13790698,286143714046
2008-06-07-14,14744336,306630439205
2008-06-07-15,15585089,323827544442
2008-06-07-16,15892686,333371691291
2008-06-07-17,15530110,324304054727
2008-06-07-18,14930192,317776821259
2008-06-07-19,15139907,320579705962
2008-06-07-20,15019288,312495686401
2008-06-07-21,14655248,304546383050
2008-06-07-22,14214964,293830437219
2008-06-07-23,12922158,264119753382
2008-06-08-00,12030907,245398615371
2008-06-08-01,11591956,237755605755
2008-06-08-02,11449421,236778710553
2008-06-08-03,11425196,235978065494
2008-06-08-04,11131583,229378687487
2008-06-08-05,10646872,217483008146
2008-06-08-06,10214976,205974505828
2008-06-08-07,10109121,207420983265
2008-06-08-08,10692760,217490683142
2008-06-08-09,11732267,237390718244
2008-06-08-10,12813944,253502073933
2008-06-08-11,13434521,262664226591
2008-06-08-12,14040466,280972846659
2008-06-08-13,15161695,304245262989
2008-06-08-14,15980039,325760031275
2008-06-08-15,16560712,339958388353
2008-06-08-16,17272894,357249218947
2008-06-08-17,16978583,351709491869
2008-06-08-18,16713635,345174555450
2008-06-08-19,17290153,358921204887
2008-06-08-20,17355551,361117389809
2008-06-08-21,16784424,350624916697
2008-06-08-22,16255187,335464848447
2008-06-08-23,14414217,298219002922
2008-06-09-00,13813345,287727363183
2008-06-09-01,13719690,292871765862
2008-06-09-02,13883771,298716212663
2008-06-09-03,13926221,297991943277
2008-06-09-04,13165832,284185309402
2008-06-09-05,12191013,259059652165
2008-06-09-06,11881807,253417875859
2008-06-09-07,12618327,279290786278
2008-06-09-08,13678836,306726535324
2008-06-09-09,14758578,339324665553
2008-06-09-10,15119548,346011871622
2008-06-09-11,15144023,348356632827
2008-06-09-12,16016193,372343493146
2008-06-09-13,18045401,412803426871
2008-06-09-14,20027986,451651323255
2008-06-09-15,20672221,456188704966
2008-06-09-16,20185010,440810408736
2008-06-09-17,19223175,419309196998
2008-06-09-18,19144597,414974199613
2008-06-09-19,19601172,424520800981
2008-06-09-20,19498505,422939688995
2008-06-09-21,18977587,413115905195
2008-06-09-22,17656362,377420435319
2008-06-09-23,15413978,329602486997
2008-06-10-00,14669653,315092149026
2008-06-10-01,14299274,310882539356
2008-06-10-02,14151583,311641125571
2008-06-10-03,14049276,309551302368
2008-06-10-04,13064668,290923639767
2008-06-10-05,12104305,269222843778
2008-06-10-06,11698609,259385316237
2008-06-10-07,12511932,283122481993
2008-06-10-08,13519484,307651216947
2008-06-10-09,14677836,339006825166
2008-06-10-10,14999075,347676423965
2008-06-10-11,15154550,351350124532
2008-06-10-12,16005630,370508238441
2008-06-10-13,18026028,415470498312
